DECL_LAB,PERIOD_LAB,PRCCODE_LAB,INDICATORS_LAB,INDICATOR_VALUE
"France","Jan.-Dec. 2010","Polyethylene terephthalate in primary forms having a viscosity number of >= 78 ml/g","QNTUNIT",kg
"France","Jan.-Dec. 2010","Polyethylene terephthalate in primary forms having a viscosity number of >= 78 ml/g","PQNTFLAG",:C
"France","Jan.-Dec. 2010","Other polyethylene terephthalate in primary forms","QNTUNIT",kg
"France","Jan.-Dec. 2010","Other polyethylene terephthalate in primary forms","PQNTFLAG",:C
"France","Jan.-Dec. 2010","Linear polyethylene having a specific gravity < 0,94, in primary forms","QNTUNIT",kg
"France","Jan.-Dec. 2010","Linear polyethylene having a specific gravity < 0,94, in primary forms","PRODQNT",504673919
"France","Jan.-Dec. 2010","Polyethylene having a specific gravity < 0,94, in primary forms (excluding linear)","QNTUNIT",kg
"France","Jan.-Dec. 2010","Polyethylene having a specific gravity < 0,94, in primary forms (excluding linear)","PRODQNT",664823870
"France","Jan.-Dec. 2010","Polyethylene having a specific gravity of >= 0,94, in primary forms","QNTUNIT",kg
"France","Jan.-Dec. 2010","Polyethylene having a specific gravity of >= 0,94, in primary forms","PRODQNT",468966674
"France","Jan.-Dec. 2010","Ethylene-vinyl acetate copolymers, in primary forms","QNTUNIT",kg
"France","Jan.-Dec. 2010","Ethylene-vinyl acetate copolymers, in primary forms","PQNTFLAG",:C
"France","Jan.-Dec. 2010","Polymers of ethylene, in primary forms (excluding polyethylene, ethylene-vinyl acetate copolymers)","QNTUNIT",kg
"France","Jan.-Dec. 2010","Polymers of ethylene, in primary forms (excluding polyethylene, ethylene-vinyl acetate copolymers)","PRODQNT",25391000
"France","Jan.-Dec. 2010","Expansible polystyrene, in primary forms","QNTUNIT",kg
"France","Jan.-Dec. 2010","Expansible polystyrene, in primary forms","PRODQNT",141911643
"France","Jan.-Dec. 2010","Polystyrene, in primary forms (excluding expansible polystyrene)","QNTUNIT",kg
"France","Jan.-Dec. 2010","Polystyrene, in primary forms (excluding expansible polystyrene)","PRODQNT",518982386
"France","Jan.-Dec. 2010","Styrene-acrylonitrile (SAN) copolymers, in primary forms","QNTUNIT",kg
"France","Jan.-Dec. 2010","Styrene-acrylonitrile (SAN) copolymers, in primary forms","PQNTFLAG",:U
"France","Jan.-Dec. 2010","Acrylonitrile-butadiene-styrene (ABS) copolymers, in primary forms","QNTUNIT",kg
"France","Jan.-Dec. 2010","Acrylonitrile-butadiene-styrene (ABS) copolymers, in primary forms","PQNTFLAG",:C
"France","Jan.-Dec. 2010","Polymers of styrene, in primary forms (excluding polystyrene, styrene-acrylonitrile (SAN) copolymers, acrylonitrile-butadiene-styrene (ABS) copolymers)","QNTUNIT",kg
"France","Jan.-Dec. 2010","Polymers of styrene, in primary forms (excluding polystyrene, styrene-acrylonitrile (SAN) copolymers, acrylonitrile-butadiene-styrene (ABS) copolymers)","PRODQNT",10560000
"France","Jan.-Dec. 2010","Polyvinyl chloride, not mixed with any other substances, in primary forms","QNTUNIT",kg
"France","Jan.-Dec. 2010","Polyvinyl chloride, not mixed with any other substances, in primary forms","PRODQNT",1562775434
"France","Jan.-Dec. 2010","Non-plasticised polyvinyl chloride mixed with any other substance, in primary forms","QNTUNIT",kg
"France","Jan.-Dec. 2010","Non-plasticised polyvinyl chloride mixed with any other substance, in primary forms","PRODQNT",80928974
"France","Jan.-Dec. 2010","Plasticised polyvinyl chloride mixed with any other substance, in primary forms","QNTUNIT",kg
"France","Jan.-Dec. 2010","Plasticised polyvinyl chloride mixed with any other substance, in primary forms","PRODQNT",250411247
"France","Jan.-Dec. 2010","Vinyl chloride-vinyl acetate copolymers and other vinyl chloride copolymers, in primary forms","QNTUNIT",kg
"France","Jan.-Dec. 2010","Vinyl chloride-vinyl acetate copolymers and other vinyl chloride copolymers, in primary forms","PQNTFLAG",:C
"France","Jan.-Dec. 2010","Polymers of halogenated olefins, in primary forms, n.e.c.","QNTUNIT",kg
"France","Jan.-Dec. 2010","Polymers of halogenated olefins, in primary forms, n.e.c.","PQNTFLAG",:C
"France","Jan.-Dec. 2010","Polyamide -6, -11, -12, -6,6, -6,9, -6,10 or -6,12, in primary forms","QNTUNIT",kg
"France","Jan.-Dec. 2010","Polyamide -6, -11, -12, -6,6, -6,9, -6,10 or -6,12, in primary forms","PRODQNT",94743285
"France","Jan.-Dec. 2010","Polyamides, in primary forms (excluding polyamide -6, -11, -12, -6,6, -6,9, -6,10 or -6,12)","QNTUNIT",kg
"France","Jan.-Dec. 2010","Polyamides, in primary forms (excluding polyamide -6, -11, -12, -6,6, -6,9, -6,10 or -6,12)","PRODQNT",17240000
"France","Jan.-Dec. 2010","Polypropylene, in primary forms","QNTUNIT",kg
"France","Jan.-Dec. 2010","Polypropylene, in primary forms","PRODQNT",1347097954
"France","Jan.-Dec. 2010","Polymers of propylene or of other olefins, in primary forms (excluding polypropylene)","QNTUNIT",kg
"France","Jan.-Dec. 2010","Polymers of propylene or of other olefins, in primary forms (excluding polypropylene)","PQNTFLAG",:C
"France","Jan.-Dec. 2011","Polyethylene terephthalate in primary forms having a viscosity number of >= 78 ml/g","QNTUNIT",kg
"France","Jan.-Dec. 2011","Polyethylene terephthalate in primary forms having a viscosity number of >= 78 ml/g","PQNTFLAG",:C
"France","Jan.-Dec. 2011","Other polyethylene terephthalate in primary forms","QNTUNIT",kg
"France","Jan.-Dec. 2011","Other polyethylene terephthalate in primary forms","PQNTFLAG",:C
"France","Jan.-Dec. 2011","Linear polyethylene having a specific gravity < 0,94, in primary forms","QNTUNIT",kg
"France","Jan.-Dec. 2011","Linear polyethylene having a specific gravity < 0,94, in primary forms","PRODQNT",517035242
"France","Jan.-Dec. 2011","Polyethylene having a specific gravity < 0,94, in primary forms (excluding linear)","QNTUNIT",kg
"France","Jan.-Dec. 2011","Polyethylene having a specific gravity < 0,94, in primary forms (excluding linear)","PRODQNT",510938240
"France","Jan.-Dec. 2011","Polyethylene having a specific gravity of >= 0,94, in primary forms","QNTUNIT",kg
"France","Jan.-Dec. 2011","Polyethylene having a specific gravity of >= 0,94, in primary forms","PRODQNT",365872617
"France","Jan.-Dec. 2011","Ethylene-vinyl acetate copolymers, in primary forms","QNTUNIT",kg
"France","Jan.-Dec. 2011","Ethylene-vinyl acetate copolymers, in primary forms","PQNTFLAG",:C
"France","Jan.-Dec. 2011","Polymers of ethylene, in primary forms (excluding polyethylene, ethylene-vinyl acetate copolymers)","QNTUNIT",kg
"France","Jan.-Dec. 2011","Polymers of ethylene, in primary forms (excluding polyethylene, ethylene-vinyl acetate copolymers)","PQNTFLAG",:C
"France","Jan.-Dec. 2011","Expansible polystyrene, in primary forms","QNTUNIT",kg
"France","Jan.-Dec. 2011","Expansible polystyrene, in primary forms","PRODQNT",109598183
"France","Jan.-Dec. 2011","Polystyrene, in primary forms (excluding expansible polystyrene)","QNTUNIT",kg
"France","Jan.-Dec. 2011","Polystyrene, in primary forms (excluding expansible polystyrene)","PRODQNT",529402075
"France","Jan.-Dec. 2011","Styrene-acrylonitrile (SAN) copolymers, in primary forms","QNTUNIT",kg
"France","Jan.-Dec. 2011","Styrene-acrylonitrile (SAN) copolymers, in primary forms","PQNTFLAG",:C
"France","Jan.-Dec. 2011","Acrylonitrile-butadiene-styrene (ABS) copolymers, in primary forms","QNTUNIT",kg
"France","Jan.-Dec. 2011","Acrylonitrile-butadiene-styrene (ABS) copolymers, in primary forms","PQNTFLAG",:C
"France","Jan.-Dec. 2011","Polymers of styrene, in primary forms (excluding polystyrene, styrene-acrylonitrile (SAN) copolymers, acrylonitrile-butadiene-styrene (ABS) copolymers)","QNTUNIT",kg
"France","Jan.-Dec. 2011","Polymers of styrene, in primary forms (excluding polystyrene, styrene-acrylonitrile (SAN) copolymers, acrylonitrile-butadiene-styrene (ABS) copolymers)","PRODQNT",7864646
"France","Jan.-Dec. 2011","Polyvinyl chloride, not mixed with any other substances, in primary forms","QNTUNIT",kg
"France","Jan.-Dec. 2011","Polyvinyl chloride, not mixed with any other substances, in primary forms","PRODQNT",1166026695
"France","Jan.-Dec. 2011","Non-plasticised polyvinyl chloride mixed with any other substance, in primary forms","QNTUNIT",kg
"France","Jan.-Dec. 2011","Non-plasticised polyvinyl chloride mixed with any other substance, in primary forms","PQNTFLAG",:C
"France","Jan.-Dec. 2011","Plasticised polyvinyl chloride mixed with any other substance, in primary forms","QNTUNIT",kg
"France","Jan.-Dec. 2011","Plasticised polyvinyl chloride mixed with any other substance, in primary forms","PRODQNT",227283055
"France","Jan.-Dec. 2011","Vinyl chloride-vinyl acetate copolymers and other vinyl chloride copolymers, in primary forms","QNTUNIT",kg
"France","Jan.-Dec. 2011","Vinyl chloride-vinyl acetate copolymers and other vinyl chloride copolymers, in primary forms","PQNTFLAG",:C
"France","Jan.-Dec. 2011","Polymers of halogenated olefins, in primary forms, n.e.c.","QNTUNIT",kg
"France","Jan.-Dec. 2011","Polymers of halogenated olefins, in primary forms, n.e.c.","PQNTFLAG",:C
"France","Jan.-Dec. 2011","Polyamide -6, -11, -12, -6,6, -6,9, -6,10 or -6,12, in primary forms","QNTUNIT",kg
"France","Jan.-Dec. 2011","Polyamide -6, -11, -12, -6,6, -6,9, -6,10 or -6,12, in primary forms","PRODQNT",156959215
