DECL
001,"France"
003,"Netherlands"
004,"Germany"
005,"Italy"
006,"United Kingdom"
007,"Ireland"
008,"Denmark"
009,"Greece"
010,"Portugal"
011,"Spain"
017,"Belgium"
018,"Luxembourg"
024,"Iceland"
028,"Norway"
030,"Sweden"
032,"Finland"
038,"Austria"
046,"Malta"
052,"Türkiye"
053,"Estonia"
054,"Latvia"
055,"Lithuania"
060,"Poland"
061,"Czechia"
063,"Slovakia"
064,"Hungary"
066,"Romania"
068,"Bulgaria"
070,"Albania"
091,"Slovenia"
092,"Croatia"
093,"Bosnia and Herzegovina"
096,"North Macedonia"
097,"Montenegro"
098,"Serbia"
1110,"EU15TOTALS"
1111,"EU25TOTALS"
1112,"EU27TOTALS_2007"
2027,"EU27TOTALS_2020"
2028,"EUROPEAN UNION (28)"
600,"Cyprus"

PERIOD
200452,"Jan.-Dec. 2004"
200552,"Jan.-Dec. 2005"
200652,"Jan.-Dec. 2006"
200752,"Jan.-Dec. 2007"
200852,"Jan.-Dec. 2008"
200952,"Jan.-Dec. 2009"
201052,"Jan.-Dec. 2010"
201152,"Jan.-Dec. 2011"
201252,"Jan.-Dec. 2012"
201352,"Jan.-Dec. 2013"
201452,"Jan.-Dec. 2014"
201552,"Jan.-Dec. 2015"
201652,"Jan.-Dec. 2016"
201752,"Jan.-Dec. 2017"
201852,"Jan.-Dec. 2018"
201952,"Jan.-Dec. 2019"
202052,"Jan.-Dec. 2020"
202152,"Jan.-Dec. 2021"
202252,"Jan.-Dec. 2022"

PRCCODE
/plasticsprimary,"/plasticsprimary"

INDICATORS
QNTUNIT,"QNTUNIT"
PQNTFLAG,"PQNTFLAG"
PRODQNT,"PRODQNT"
