DECL_LAB,PERIOD_LAB,PRCCODE_LAB,INDICATORS_LAB,INDICATOR_VALUE
"France","Jan.-Dec. 2008","/plasticsprimary","QNTUNIT",kg
"France","Jan.-Dec. 2008","/plasticsprimary","PQNTFLAG",:C
"France","Jan.-Dec. 2008","/plasticsprimary","PRODQNT",7429175013
"France","Jan.-Dec. 2009","/plasticsprimary","QNTUNIT",kg
"France","Jan.-Dec. 2009","/plasticsprimary","PQNTFLAG",:C
"France","Jan.-Dec. 2009","/plasticsprimary","PRODQNT",6031547793
"France","Jan.-Dec. 2010","/plasticsprimary","QNTUNIT",kg
"France","Jan.-Dec. 2010","/plasticsprimary","PQNTFLAG",:C
"France","Jan.-Dec. 2010","/plasticsprimary","PRODQNT",5700240386
"France","Jan.-Dec. 2011","/plasticsprimary","QNTUNIT",kg
"France","Jan.-Dec. 2011","/plasticsprimary","PQNTFLAG",:C
"France","Jan.-Dec. 2011","/plasticsprimary","PRODQNT",4961201554
"France","Jan.-Dec. 2012","/plasticsprimary","QNTUNIT",kg
"France","Jan.-Dec. 2012","/plasticsprimary","PQNTFLAG",:C
"France","Jan.-Dec. 2012","/plasticsprimary","PRODQNT",5036257960
"France","Jan.-Dec. 2013","/plasticsprimary","QNTUNIT",kg
"France","Jan.-Dec. 2013","/plasticsprimary","PQNTFLAG",:C
"France","Jan.-Dec. 2013","/plasticsprimary","PRODQNT",5428677397
"France","Jan.-Dec. 2014","/plasticsprimary","QNTUNIT",kg
"France","Jan.-Dec. 2014","/plasticsprimary","PQNTFLAG",:C
"France","Jan.-Dec. 2014","/plasticsprimary","PRODQNT",5426239558
"France","Jan.-Dec. 2015","/plasticsprimary","QNTUNIT",kg
"France","Jan.-Dec. 2015","/plasticsprimary","PQNTFLAG",:C
"France","Jan.-Dec. 2015","/plasticsprimary","PRODQNT",4908082454
"France","Jan.-Dec. 2016","/plasticsprimary","QNTUNIT",kg
"France","Jan.-Dec. 2016","/plasticsprimary","PQNTFLAG",:C
"France","Jan.-Dec. 2016","/plasticsprimary","PRODQNT",5408018667
"France","Jan.-Dec. 2017","/plasticsprimary","QNTUNIT",kg
"France","Jan.-Dec. 2017","/plasticsprimary","PQNTFLAG",:C
"France","Jan.-Dec. 2017","/plasticsprimary","PRODQNT",5696704196
"France","Jan.-Dec. 2018","/plasticsprimary","QNTUNIT",kg
"France","Jan.-Dec. 2018","/plasticsprimary","PQNTFLAG",:C
"France","Jan.-Dec. 2018","/plasticsprimary","PRODQNT",4613232157
"France","Jan.-Dec. 2019","/plasticsprimary","QNTUNIT",kg
"France","Jan.-Dec. 2019","/plasticsprimary","PQNTFLAG",:C
"France","Jan.-Dec. 2019","/plasticsprimary","PRODQNT",4633884084
"France","Jan.-Dec. 2020","/plasticsprimary","QNTUNIT",kg
"France","Jan.-Dec. 2020","/plasticsprimary","PQNTFLAG",:C
"France","Jan.-Dec. 2020","/plasticsprimary","PRODQNT",4329932929
"France","Jan.-Dec. 2021","/plasticsprimary","QNTUNIT",kg
"France","Jan.-Dec. 2021","/plasticsprimary","PQNTFLAG",:C
"France","Jan.-Dec. 2021","/plasticsprimary","PRODQNT",4433627452
"France","Jan.-Dec. 2022","/plasticsprimary","QNTUNIT",kg
"France","Jan.-Dec. 2022","/plasticsprimary","PQNTFLAG",:C
"France","Jan.-Dec. 2022","/plasticsprimary","PRODQNT",3715687240
"Netherlands","Jan.-Dec. 2008","/plasticsprimary","QNTUNIT",kg
"Netherlands","Jan.-Dec. 2008","/plasticsprimary","PQNTFLAG",:C
"Netherlands","Jan.-Dec. 2008","/plasticsprimary","PRODQNT",194768783
"Netherlands","Jan.-Dec. 2009","/plasticsprimary","QNTUNIT",kg
"Netherlands","Jan.-Dec. 2009","/plasticsprimary","PQNTFLAG",:C
"Netherlands","Jan.-Dec. 2009","/plasticsprimary","PRODQNT",781140000
"Netherlands","Jan.-Dec. 2010","/plasticsprimary","QNTUNIT",kg
"Netherlands","Jan.-Dec. 2010","/plasticsprimary","PQNTFLAG",:C
"Netherlands","Jan.-Dec. 2010","/plasticsprimary","PRODQNT",841179325
"Netherlands","Jan.-Dec. 2011","/plasticsprimary","QNTUNIT",kg
"Netherlands","Jan.-Dec. 2011","/plasticsprimary","PQNTFLAG",:C
"Netherlands","Jan.-Dec. 2011","/plasticsprimary","PRODQNT",0
"Netherlands","Jan.-Dec. 2012","/plasticsprimary","QNTUNIT",kg
"Netherlands","Jan.-Dec. 2012","/plasticsprimary","PQNTFLAG",:C
"Netherlands","Jan.-Dec. 2012","/plasticsprimary","PRODQNT",1396378000
"Netherlands","Jan.-Dec. 2013","/plasticsprimary","QNTUNIT",kg
"Netherlands","Jan.-Dec. 2013","/plasticsprimary","PQNTFLAG",:C
"Netherlands","Jan.-Dec. 2013","/plasticsprimary","PRODQNT",1327154000
"Netherlands","Jan.-Dec. 2014","/plasticsprimary","QNTUNIT",kg
"Netherlands","Jan.-Dec. 2014","/plasticsprimary","PQNTFLAG",:C
"Netherlands","Jan.-Dec. 2014","/plasticsprimary","PRODQNT",837583000
"Netherlands","Jan.-Dec. 2015","/plasticsprimary","QNTUNIT",kg
"Netherlands","Jan.-Dec. 2015","/plasticsprimary","PQNTFLAG",:C
"Netherlands","Jan.-Dec. 2015","/plasticsprimary","PRODQNT",1022489552
"Netherlands","Jan.-Dec. 2016","/plasticsprimary","QNTUNIT",kg
"Netherlands","Jan.-Dec. 2016","/plasticsprimary","PQNTFLAG",:C
"Netherlands","Jan.-Dec. 2016","/plasticsprimary","PRODQNT",1466478000
"Netherlands","Jan.-Dec. 2017","/plasticsprimary","QNTUNIT",kg
"Netherlands","Jan.-Dec. 2017","/plasticsprimary","PQNTFLAG",:C
"Netherlands","Jan.-Dec. 2017","/plasticsprimary","PRODQNT",795305000
"Netherlands","Jan.-Dec. 2018","/plasticsprimary","QNTUNIT",kg
"Netherlands","Jan.-Dec. 2018","/plasticsprimary","PQNTFLAG",:E
"Netherlands","Jan.-Dec. 2018","/plasticsprimary","PRODQNT",2599377000
"Netherlands","Jan.-Dec. 2019","/plasticsprimary","QNTUNIT",kg
"Netherlands","Jan.-Dec. 2019","/plasticsprimary","PQNTFLAG",:C
"Netherlands","Jan.-Dec. 2019","/plasticsprimary","PRODQNT",2615966000
"Netherlands","Jan.-Dec. 2020","/plasticsprimary","QNTUNIT",kg
"Netherlands","Jan.-Dec. 2020","/plasticsprimary","PQNTFLAG",:C
"Netherlands","Jan.-Dec. 2020","/plasticsprimary","PRODQNT",2506694000
"Netherlands","Jan.-Dec. 2021","/plasticsprimary","QNTUNIT",kg
"Netherlands","Jan.-Dec. 2021","/plasticsprimary","PQNTFLAG",:C
"Netherlands","Jan.-Dec. 2021","/plasticsprimary","PRODQNT",2720197000
"Netherlands","Jan.-Dec. 2022","/plasticsprimary","QNTUNIT",kg
"Netherlands","Jan.-Dec. 2022","/plasticsprimary","PQNTFLAG",:C
"Netherlands","Jan.-Dec. 2022","/plasticsprimary","PRODQNT",2568478000
"Germany","Jan.-Dec. 2008","/plasticsprimary","QNTUNIT",kg
"Germany","Jan.-Dec. 2008","/plasticsprimary","PQNTFLAG",:C
"Germany","Jan.-Dec. 2008","/plasticsprimary","PRODQNT",9654751000
"Germany","Jan.-Dec. 2009","/plasticsprimary","QNTUNIT",kg
"Germany","Jan.-Dec. 2009","/plasticsprimary","PQNTFLAG",:C
"Germany","Jan.-Dec. 2009","/plasticsprimary","PRODQNT",7655232000
"Germany","Jan.-Dec. 2010","/plasticsprimary","QNTUNIT",kg
"Germany","Jan.-Dec. 2010","/plasticsprimary","PQNTFLAG",:C
"Germany","Jan.-Dec. 2010","/plasticsprimary","PRODQNT",5668138000
"Germany","Jan.-Dec. 2011","/plasticsprimary","QNTUNIT",kg
"Germany","Jan.-Dec. 2011","/plasticsprimary","PQNTFLAG",:C
"Germany","Jan.-Dec. 2011","/plasticsprimary","PRODQNT",9056578000
"Germany","Jan.-Dec. 2012","/plasticsprimary","QNTUNIT",kg
"Germany","Jan.-Dec. 2012","/plasticsprimary","PQNTFLAG",:C
"Germany","Jan.-Dec. 2012","/plasticsprimary","PRODQNT",9157137000
"Germany","Jan.-Dec. 2013","/plasticsprimary","QNTUNIT",kg
"Germany","Jan.-Dec. 2013","/plasticsprimary","PQNTFLAG",:C
"Germany","Jan.-Dec. 2013","/plasticsprimary","PRODQNT",9156966000
"Germany","Jan.-Dec. 2014","/plasticsprimary","QNTUNIT",kg
"Germany","Jan.-Dec. 2014","/plasticsprimary","PQNTFLAG",:C
"Germany","Jan.-Dec. 2014","/plasticsprimary","PRODQNT",9478807000
"Germany","Jan.-Dec. 2015","/plasticsprimary","QNTUNIT",kg
"Germany","Jan.-Dec. 2015","/plasticsprimary","PQNTFLAG",:C
"Germany","Jan.-Dec. 2015","/plasticsprimary","PRODQNT",9293902000
"Germany","Jan.-Dec. 2016","/plasticsprimary","QNTUNIT",kg
"Germany","Jan.-Dec. 2016","/plasticsprimary","PQNTFLAG",:C
"Germany","Jan.-Dec. 2016","/plasticsprimary","PRODQNT",9576741000
"Germany","Jan.-Dec. 2017","/plasticsprimary","QNTUNIT",kg
"Germany","Jan.-Dec. 2017","/plasticsprimary","PQNTFLAG",:C
"Germany","Jan.-Dec. 2017","/plasticsprimary","PRODQNT",9912153000
"Germany","Jan.-Dec. 2018","/plasticsprimary","QNTUNIT",kg
"Germany","Jan.-Dec. 2018","/plasticsprimary","PQNTFLAG",:C
"Germany","Jan.-Dec. 2018","/plasticsprimary","PRODQNT",9501224000
"Germany","Jan.-Dec. 2019","/plasticsprimary","QNTUNIT",kg
"Germany","Jan.-Dec. 2019","/plasticsprimary","PQNTFLAG",:C
"Germany","Jan.-Dec. 2019","/plasticsprimary","PRODQNT",9062539000
"Germany","Jan.-Dec. 2020","/plasticsprimary","QNTUNIT",kg
"Germany","Jan.-Dec. 2020","/plasticsprimary","PQNTFLAG",:C
"Germany","Jan.-Dec. 2020","/plasticsprimary","PRODQNT",8851989000
"Germany","Jan.-Dec. 2021","/plasticsprimary","QNTUNIT",kg
"Germany","Jan.-Dec. 2021","/plasticsprimary","PQNTFLAG",:C
"Germany","Jan.-Dec. 2021","/plasticsprimary","PRODQNT",9380573000
"Germany","Jan.-Dec. 2022","/plasticsprimary","QNTUNIT",kg
"Germany","Jan.-Dec. 2022","/plasticsprimary","PQNTFLAG",:C
"Germany","Jan.-Dec. 2022","/plasticsprimary","PRODQNT",8242995000
"Italy","Jan.-Dec. 2008","/plasticsprimary","QNTUNIT",kg
"Italy","Jan.-Dec. 2008","/plasticsprimary","PQNTFLAG",:C
"Italy","Jan.-Dec. 2008","/plasticsprimary","PRODQNT",3663952000
"Italy","Jan.-Dec. 2009","/plasticsprimary","QNTUNIT",kg
"Italy","Jan.-Dec. 2009","/plasticsprimary","PQNTFLAG",:C
"Italy","Jan.-Dec. 2009","/plasticsprimary","PRODQNT",2957646000
