DATAFLOW,LAST UPDATE,freq,waste,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Austria,2000,26.2,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Austria,2001,29.1,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Austria,2002,30,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Austria,2003,30.7,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Austria,2004,33.2,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Austria,2005,32.9,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Austria,2006,35.8,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Austria,2007,32.7,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Austria,2008,34.9,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Austria,2009,32.7,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Austria,2010,34.4,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Austria,2011,34.8,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Austria,2012,34.7,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Austria,2013,34.4,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Austria,2014,33.6,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Austria,2015,33.6,,
ESTAT:CEI_WM020(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Austria,2016,33.6,,
