DATAFLOW,LAST UPDATE,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2010,8496609.28,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2011,9161626.18,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2012,9445313.29,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2013,8085489.19,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2014,9119339.94,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2015,8836569.18,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2016,9250865.36,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2017,7403291.00,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2018,6051618.86,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2019,6073374.00,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2020,5869523.99,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2021,5059834.11,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2022,4657409.18,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2023,4416697.92,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2010,635208.30,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2011,346845.95,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2012,490815.51,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2013,502079.89,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2014,807990.58,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2015,964001.32,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2016,901735.61,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2017,1027616.16,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2018,526932.08,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2019,302687.35,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2020,450151.96,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2021,604494.72,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2022,841224.74,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2023,1356262.50,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2010,2520510.94,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2011,2920932.87,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2012,2858428.91,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,QUANTITY_IN_100KG,2013,2451166.34,
