DATAFLOW,LAST UPDATE,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2010,254618870,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2011,306463681,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2012,330329484,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2013,311375133,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2014,353941801,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2015,333352706,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2016,308643469,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2017,259315465,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2018,228155764,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2019,221785533,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2020,168788623,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2021,217594537,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2022,269760170,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2023,179583651,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2010,19624118,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2011,13129236,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2012,17751997,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2013,20782323,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2014,39250009,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2015,47706242,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2016,42157014,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2017,43700016,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2018,16916265,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2019,13467897,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2020,15406316,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2021,22757019,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Spain (incl. Canary Islands 'XB' from 1997),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",EXPORT,VALUE_IN_EUROS,2022,37977884,
