DATAFLOW,LAST UPDATE,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2010,1893107.06,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2011,1569783.76,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2012,1694609.61,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2013,1606641.33,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2014,2199973.18,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2015,2302855.54,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2016,2767483.68,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2017,2253455.32,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2018,2012321.18,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2019,2068493.20,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2020,2201780.38,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2021,2503126.84,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,QUANTITY_IN_100KG,2022,2874590.53,
