DATAFLOW,LAST UPDATE,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,VALUE_IN_EUROS,2010,54572741,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,VALUE_IN_EUROS,2011,48833742,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,VALUE_IN_EUROS,2012,59653058,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,VALUE_IN_EUROS,2013,61892991,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,VALUE_IN_EUROS,2014,80411693,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,VALUE_IN_EUROS,2015,83072418,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,VALUE_IN_EUROS,2016,86533408,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,VALUE_IN_EUROS,2017,68380914,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,VALUE_IN_EUROS,2018,54507877,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,VALUE_IN_EUROS,2019,65972289,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,Annual,Germany (incl. German Democratic Republic 'DD' from 1991),All countries of the world,"Waste, parings and scrap, of polymers of ethylene",IMPORT,VALUE_IN_EUROS,2020,61926280,
