DATAFLOW,LAST UPDATE,freq,tax,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,Manufacture of rubber and plastic products,Austria,2010,12.35,b,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,Manufacture of rubber and plastic products,Austria,2011,13.4,,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,Manufacture of rubber and plastic products,Austria,2012,13.28,,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,Manufacture of rubber and plastic products,Austria,2013,12.94,,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,Manufacture of rubber and plastic products,Austria,2014,13.23,,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,Manufacture of rubber and plastic products,Austria,2015,14.19,,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,Manufacture of rubber and plastic products,Austria,2016,13.3,,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,Manufacture of rubber and plastic products,Austria,2017,14.02,,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,Manufacture of rubber and plastic products,Austria,2018,14.94,,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,Manufacture of rubber and plastic products,Austria,2019,13.45,,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,Manufacture of rubber and plastic products,Austria,2020,12.16,,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,Manufacture of rubber and plastic products,Austria,2021,14.38,,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,Manufacture of rubber and plastic products,Austria,2022,11.22,,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,Manufacture of rubber and plastic products,Belgium,2010,10.43,,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,Manufacture of rubber and plastic products,Belgium,2011,12.94,,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,Manufacture of rubber and plastic products,Belgium,2012,13.28,,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,Manufacture of rubber and plastic products,Belgium,2013,13.21,,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,Manufacture of rubber and plastic products,Belgium,2014,14.16,,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,Manufacture of rubber and plastic products,Belgium,2015,25.02,,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,Manufacture of rubber and plastic products,Belgium,2016,32.61,,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,Manufacture of rubber and plastic products,Belgium,2017,37.35,,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,Manufacture of rubber and plastic products,Belgium,2018,36.77,,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,Manufacture of rubber and plastic products,Belgium,2019,36.59,,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,Manufacture of rubber and plastic products,Belgium,2020,35.96,,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,Manufacture of rubber and plastic products,Belgium,2021,37.97,p,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,Manufacture of rubber and plastic products,Belgium,2022,30.15,p,
ESTAT:ENV_AC_TAXIND2(1.0),15/07/24 23:00:00,Annual,Total environmental taxes,Million euro,Manufacture of rubber and plastic products,Bulgaria,2010,2.28,,
