DATAFLOW,LAST UPDATE,freq,unit,hazard,nace_r2,waste,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Albania,2022,245,d,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Austria,2004,6488,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Austria,2006,6565,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Austria,2008,6767,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Austria,2010,5596,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Austria,2012,5699,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Austria,2014,6537,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Austria,2016,7008,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Austria,2018,7428,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Austria,2020,7728,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Austria,2022,8079,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Bosnia and Herzegovina,2012,1161,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Bosnia and Herzegovina,2014,1447,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Bosnia and Herzegovina,2016,1744,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Bosnia and Herzegovina,2018,1930,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Bosnia and Herzegovina,2022,1797,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Belgium,2004,5068,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Belgium,2006,5627,e,
