DATAFLOW,LAST UPDATE,freq,waste,wst_oper,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Austria,2001,59500,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Austria,2002,60000,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Austria,2003,66454,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Austria,2004,74640,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Austria,2005,74000,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Austria,2006,85173,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Austria,2007,80100,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Austria,2008,87717,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Austria,2009,83683,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Austria,2010,90928,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Austria,2011,91889,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Austria,2012,94183,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Austria,2013,99258,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Austria,2014,98035,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Austria,2015,99015,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Austria,2016,100006,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Austria,2017,101006,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Austria,2018,96235,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Austria,2019,91007,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Austria,2020,75682,b,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Austria,2021,78081,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Austria,2022,76216,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Belgium,2001,68354,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Belgium,2002,75996,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Belgium,2003,90496,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Belgium,2004,102726,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Belgium,2005,110510,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Belgium,2006,116585,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Belgium,2007,118695,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Belgium,2008,119111,,
