DATAFLOW,LAST UPDATE,freq,waste,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Austria,2010,34.4,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Austria,2011,34.8,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Austria,2012,34.7,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Austria,2013,34.4,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Austria,2014,33.6,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Austria,2015,33.6,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Austria,2016,33.6,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Austria,2017,33.4,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Austria,2018,31.9,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Austria,2019,30.8,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Austria,2020,31.6,b,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Austria,2021,30.7,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Austria,2022,25.4,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Belgium,2010,41.5,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Belgium,2011,41.4,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Belgium,2012,41.5,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Belgium,2013,39,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Belgium,2014,41.8,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Belgium,2015,42.6,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Belgium,2016,43.4,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Belgium,2017,44.5,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Belgium,2018,42.4,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Belgium,2019,47.3,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Belgium,2020,44.7,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Belgium,2021,49.2,,
ESTAT:ENV_WASPACR(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Rate,Belgium,2022,54.2,,
