DATAFLOW,LAST UPDATE,freq,unit,hazard,wst_oper,waste,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Albania,2014,0,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Albania,2022,0,d,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Austria,2010,8,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Austria,2012,37,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Austria,2014,22,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Austria,2016,32,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Austria,2018,22,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Austria,2020,22,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Austria,2022,20,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Bosnia and Herzegovina,2022,0,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Kilograms per capita,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Belgium,2010,13,,
