DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_GDP(1.0),05/03/25 23:00:00,Annual,"Chain linked volumes, index 2015=100",Gross domestic product at market prices,Albania,2010,91.511,,
ESTAT:NAMA_10_GDP(1.0),05/03/25 23:00:00,Annual,"Chain linked volumes, index 2015=100",Gross domestic product at market prices,Albania,2011,93.840,,
ESTAT:NAMA_10_GDP(1.0),05/03/25 23:00:00,Annual,"Chain linked volumes, index 2015=100",Gross domestic product at market prices,Albania,2012,95.170,,
ESTAT:NAMA_10_GDP(1.0),05/03/25 23:00:00,Annual,"Chain linked volumes, index 2015=100",Gross domestic product at market prices,Albania,2013,96.124,d,
ESTAT:NAMA_10_GDP(1.0),05/03/25 23:00:00,Annual,"Chain linked volumes, index 2015=100",Gross domestic product at market prices,Albania,2014,97.829,,
ESTAT:NAMA_10_GDP(1.0),05/03/25 23:00:00,Annual,"Chain linked volumes, index 2015=100",Gross domestic product at market prices,Albania,2015,100.000,,
ESTAT:NAMA_10_GDP(1.0),05/03/25 23:00:00,Annual,"Chain linked volumes, index 2015=100",Gross domestic product at market prices,Albania,2016,103.315,,
ESTAT:NAMA_10_GDP(1.0),05/03/25 23:00:00,Annual,"Chain linked volumes, index 2015=100",Gross domestic product at market prices,Albania,2017,107.243,,
ESTAT:NAMA_10_GDP(1.0),05/03/25 23:00:00,Annual,"Chain linked volumes, index 2015=100",Gross domestic product at market prices,Albania,2018,111.554,,
ESTAT:NAMA_10_GDP(1.0),05/03/25 23:00:00,Annual,"Chain linked volumes, index 2015=100",Gross domestic product at market prices,Albania,2019,126.435,b,
ESTAT:NAMA_10_GDP(1.0),05/03/25 23:00:00,Annual,"Chain linked volumes, index 2015=100",Gross domestic product at market prices,Albania,2020,122.245,,
ESTAT:NAMA_10_GDP(1.0),05/03/25 23:00:00,Annual,"Chain linked volumes, index 2015=100",Gross domestic product at market prices,Albania,2021,133.210,,
ESTAT:NAMA_10_GDP(1.0),05/03/25 23:00:00,Annual,"Chain linked volumes, index 2015=100",Gross domestic product at market prices,Albania,2022,139.640,,
ESTAT:NAMA_10_GDP(1.0),05/03/25 23:00:00,Annual,"Chain linked volumes, index 2015=100",Gross domestic product at market prices,Albania,2023,145.137,p,
