DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2009,74.9,,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2010,81.0,,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2011,83.2,,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2012,82.7,,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2013,84.0,,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2014,88.1,,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2015,91.0,,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2016,95.0,,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2017,97.9,,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2018,100.5,,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2019,98.4,,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2020,97.0,,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2021,99.4,,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2022,99.1,,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2023,92.5,,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2024,92.3,,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area - 19 countries  (2015-2022),2009,80.6,i,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area - 19 countries  (2015-2022),2010,84.3,i,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area - 19 countries  (2015-2022),2011,85.7,i,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area - 19 countries  (2015-2022),2012,85.1,i,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area - 19 countries  (2015-2022),2013,86.4,i,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area - 19 countries  (2015-2022),2014,89.9,i,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area - 19 countries  (2015-2022),2015,92.1,i,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area - 19 countries  (2015-2022),2016,94.7,i,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area - 19 countries  (2015-2022),2017,98.8,i,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area - 19 countries  (2015-2022),2018,100.0,,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area - 19 countries  (2015-2022),2019,98.7,,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area - 19 countries  (2015-2022),2020,96.6,,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area - 19 countries  (2015-2022),2021,100.0,,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area - 19 countries  (2015-2022),2022,101.2,,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area - 19 countries  (2015-2022),2023,96.2,,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2009,80.6,i,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2010,84.3,i,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2011,85.7,i,
ESTAT:STS_INPR_A(1.0),18/02/25 11:00:00,Annual,Production (volume),Manufacture of plastic packing goods,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2012,85.1,i,
