DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:STS_INPR_A(1.0),14/03/25 11:00:00,Annual,Production (volume),Manufacture of plastics products,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",Austria,2010,,,C
ESTAT:STS_INPR_A(1.0),14/03/25 11:00:00,Annual,Production (volume),Manufacture of plastics products,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",Austria,2011,,,C
ESTAT:STS_INPR_A(1.0),14/03/25 11:00:00,Annual,Production (volume),Manufacture of plastics products,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",Austria,2012,,,C
ESTAT:STS_INPR_A(1.0),14/03/25 11:00:00,Annual,Production (volume),Manufacture of plastics products,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",Austria,2013,,,C
ESTAT:STS_INPR_A(1.0),14/03/25 11:00:00,Annual,Production (volume),Manufacture of plastics products,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",Austria,2014,,,C
ESTAT:STS_INPR_A(1.0),14/03/25 11:00:00,Annual,Production (volume),Manufacture of plastics products,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",Austria,2015,,,C
ESTAT:STS_INPR_A(1.0),14/03/25 11:00:00,Annual,Production (volume),Manufacture of plastics products,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",Austria,2016,,,C
ESTAT:STS_INPR_A(1.0),14/03/25 11:00:00,Annual,Production (volume),Manufacture of plastics products,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",Austria,2017,,,C
ESTAT:STS_INPR_A(1.0),14/03/25 11:00:00,Annual,Production (volume),Manufacture of plastics products,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",Austria,2018,,,C
ESTAT:STS_INPR_A(1.0),14/03/25 11:00:00,Annual,Production (volume),Manufacture of plastics products,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",Austria,2019,,,C
ESTAT:STS_INPR_A(1.0),14/03/25 11:00:00,Annual,Production (volume),Manufacture of plastics products,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",Austria,2020,,,C
ESTAT:STS_INPR_A(1.0),14/03/25 11:00:00,Annual,Production (volume),Manufacture of plastics products,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",Austria,2021,,,C
ESTAT:STS_INPR_A(1.0),14/03/25 11:00:00,Annual,Production (volume),Manufacture of plastics products,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",Belgium,2010,,,C
ESTAT:STS_INPR_A(1.0),14/03/25 11:00:00,Annual,Production (volume),Manufacture of plastics products,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",Belgium,2011,,,C
ESTAT:STS_INPR_A(1.0),14/03/25 11:00:00,Annual,Production (volume),Manufacture of plastics products,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",Belgium,2012,,,C
