DATAFLOW,LAST UPDATE,freq,waste,wst_oper,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Austria,2010,264517,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Austria,2011,264152,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Austria,2012,271808,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Austria,2013,288714,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Austria,2014,291968,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Austria,2015,294888,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Austria,2016,297837,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Austria,2017,302306,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Austria,2018,302000,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Austria,2019,295752,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Austria,2020,299140,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Austria,2021,298727,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Austria,2022,299883,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Belgium,2010,315505,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Belgium,2011,315961,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Belgium,2012,320423,,
