DATAFLOW,LAST UPDATE,freq,unit,hazard,nace_r2,waste,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Albania,2022,34034,d,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Austria,2004,589335,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Austria,2006,350081,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Austria,2008,640521,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Austria,2010,564604,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Austria,2012,357595,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Austria,2014,371417,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Austria,2016,371236,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Austria,2018,380208,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Austria,2020,399084,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Austria,2022,423589,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Bosnia and Herzegovina,2012,1867,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Bosnia and Herzegovina,2014,27986,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Bosnia and Herzegovina,2016,13626,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Bosnia and Herzegovina,2018,20290,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Bosnia and Herzegovina,2020,9038,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Bosnia and Herzegovina,2022,8272,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Belgium,2004,1332559,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Belgium,2006,631509,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Belgium,2008,1074910,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Belgium,2010,716165,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Belgium,2012,651775,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Belgium,2014,1395458,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Belgium,2016,715623,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Belgium,2018,745450,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Belgium,2020,994896,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Belgium,2022,768882,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Bulgaria,2004,44246,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Bulgaria,2006,25864,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Bulgaria,2008,72972,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Bulgaria,2010,59950,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Bulgaria,2012,99922,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Bulgaria,2014,196124,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Bulgaria,2016,213449,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Bulgaria,2018,260939,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Bulgaria,2020,367487,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Bulgaria,2022,336836,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Cyprus,2004,76365,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Cyprus,2006,56708,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Cyprus,2008,68365,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Cyprus,2010,83994,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Cyprus,2012,4243,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Cyprus,2014,5242,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Cyprus,2016,6222,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Cyprus,2018,8352,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Cyprus,2020,17174,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Cyprus,2022,19139,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Czechia,2004,169315,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Czechia,2006,214116,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Czechia,2008,232260,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Czechia,2010,253923,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Czechia,2012,325623,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Czechia,2014,347929,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Czechia,2016,430416,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Czechia,2018,565453,b,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Czechia,2020,556682,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Czechia,2022,624067,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Germany,2004,1138544,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Germany,2006,1413697,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Germany,2008,1936296,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Germany,2010,2288466,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Germany,2012,2530498,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Germany,2014,2704367,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Germany,2016,2734235,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Germany,2018,2864626,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Germany,2020,3097163,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Germany,2022,3165373,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Denmark,2004,53996,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Denmark,2006,53779,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Denmark,2008,72692,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Denmark,2010,78548,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Denmark,2012,104816,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Denmark,2014,98820,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Denmark,2016,114585,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Denmark,2018,105457,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Denmark,2020,139833,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Denmark,2022,153033,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Estonia,2004,74358,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Estonia,2006,89683,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Estonia,2008,93713,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Estonia,2010,25390,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Estonia,2012,22706,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Estonia,2014,32966,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Estonia,2016,42836,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Estonia,2018,52389,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Estonia,2020,43142,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Estonia,2022,38536,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Greece,2004,355234,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Greece,2006,755493,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Greece,2008,672636,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Greece,2010,226992,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Greece,2012,133232,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Greece,2014,192248,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Greece,2016,256905,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Greece,2018,190723,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Greece,2020,172216,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Greece,2022,220655,p,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Spain,2004,1205087,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Spain,2006,1616607,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Spain,2008,1903919,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Spain,2010,1465233,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Spain,2012,1142921,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Spain,2014,1105552,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Spain,2016,731064,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Spain,2018,815282,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Spain,2020,876807,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,Spain,2022,1158664,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,European Union - 27 countries (from 2020),2004,9540000,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,European Union - 27 countries (from 2020),2006,11410000,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,European Union - 27 countries (from 2020),2008,12090000,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,European Union - 27 countries (from 2020),2010,12350000,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,European Union - 27 countries (from 2020),2012,12890000,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,European Union - 27 countries (from 2020),2014,14940000,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,European Union - 27 countries (from 2020),2016,15150000,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,European Union - 27 countries (from 2020),2018,17220000,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,European Union - 27 countries (from 2020),2020,18950000,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,European Union - 27 countries (from 2020),2022,20290000,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,European Union - 28 countries (2013-2020),2004,11580000,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,European Union - 28 countries (2013-2020),2006,14860000,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,European Union - 28 countries (2013-2020),2008,14580000,,
ESTAT:ENV_WASGEN(1.0),30/09/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,All NACE activities plus households,Plastic wastes,European Union - 28 countries (2013-2020),2010,14370000,,
