DATAFLOW,LAST UPDATE,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,DE,WORLD,3915,2,QUANTITY_IN_100KG,2010,14960878.06,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,DE,WORLD,3915,2,QUANTITY_IN_100KG,2012,15113381.76,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,DE,WORLD,3915,2,QUANTITY_IN_100KG,2014,14536527.43,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,DE,WORLD,3915,2,QUANTITY_IN_100KG,2016,14571383.02,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,DE,WORLD,3915,2,QUANTITY_IN_100KG,2018,10688737.81,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,DE,WORLD,3915,2,QUANTITY_IN_100KG,2020,10243191.91,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,DE,WORLD,3915,2,QUANTITY_IN_100KG,2022,7602590.21,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,ES,WORLD,3915,2,QUANTITY_IN_100KG,2010,2181304.86,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,ES,WORLD,3915,2,QUANTITY_IN_100KG,2012,2413576.76,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,ES,WORLD,3915,2,QUANTITY_IN_100KG,2014,3594826.80,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,ES,WORLD,3915,2,QUANTITY_IN_100KG,2016,3188836.81,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,ES,WORLD,3915,2,QUANTITY_IN_100KG,2018,1583597.83,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,ES,WORLD,3915,2,QUANTITY_IN_100KG,2020,873529.38,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,ES,WORLD,3915,2,QUANTITY_IN_100KG,2022,1442612.72,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,ES,WORLD,3915,2,QUANTITY_IN_100KG,2024,2790424.09,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,FR,WORLD,3915,2,QUANTITY_IN_100KG,2010,4800537.42,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,FR,WORLD,3915,2,QUANTITY_IN_100KG,2012,5069686.80,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,FR,WORLD,3915,2,QUANTITY_IN_100KG,2014,4842876.33,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,FR,WORLD,3915,2,QUANTITY_IN_100KG,2016,4849988.57,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,FR,WORLD,3915,2,QUANTITY_IN_100KG,2018,4090908.47,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,FR,WORLD,3915,2,QUANTITY_IN_100KG,2020,3346086.86,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,FR,WORLD,3915,2,QUANTITY_IN_100KG,2022,3484422.97,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,GR,WORLD,3915,2,QUANTITY_IN_100KG,2010,500162.36,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,GR,WORLD,3915,2,QUANTITY_IN_100KG,2012,389651.37,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,GR,WORLD,3915,2,QUANTITY_IN_100KG,2014,349824.03,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,GR,WORLD,3915,2,QUANTITY_IN_100KG,2016,428626.13,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,GR,WORLD,3915,2,QUANTITY_IN_100KG,2018,529952.96,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,GR,WORLD,3915,2,QUANTITY_IN_100KG,2020,526822.12,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,GR,WORLD,3915,2,QUANTITY_IN_100KG,2022,617452.04,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,GR,WORLD,3915,2,QUANTITY_IN_100KG,2024,636442.68,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,IT,WORLD,3915,2,QUANTITY_IN_100KG,2010,2639493.77,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,IT,WORLD,3915,2,QUANTITY_IN_100KG,2012,2280189.51,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,IT,WORLD,3915,2,QUANTITY_IN_100KG,2014,1758587.14,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,IT,WORLD,3915,2,QUANTITY_IN_100KG,2016,2342068.31,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,IT,WORLD,3915,2,QUANTITY_IN_100KG,2018,2132009.52,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,IT,WORLD,3915,2,QUANTITY_IN_100KG,2020,2171489.86,
