DATAFLOW,LAST UPDATE,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,DE,WORLD,3915,1,QUANTITY_IN_100KG,2010,3272312.08,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,DE,WORLD,3915,1,QUANTITY_IN_100KG,2012,4200892.25,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,DE,WORLD,3915,1,QUANTITY_IN_100KG,2014,5016279.82,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,DE,WORLD,3915,1,QUANTITY_IN_100KG,2016,5805772.65,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,DE,WORLD,3915,1,QUANTITY_IN_100KG,2018,4899240.86,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,DE,WORLD,3915,1,QUANTITY_IN_100KG,2020,4914873.56,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,DE,WORLD,3915,1,QUANTITY_IN_100KG,2022,5591963.17,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,ES,WORLD,3915,1,QUANTITY_IN_100KG,2010,427494.57,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,ES,WORLD,3915,1,QUANTITY_IN_100KG,2012,471584.03,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,ES,WORLD,3915,1,QUANTITY_IN_100KG,2014,658974.84,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,ES,WORLD,3915,1,QUANTITY_IN_100KG,2016,846659.91,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,ES,WORLD,3915,1,QUANTITY_IN_100KG,2018,1394555.04,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,ES,WORLD,3915,1,QUANTITY_IN_100KG,2020,1506955.49,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,ES,WORLD,3915,1,QUANTITY_IN_100KG,2022,2617575.64,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,ES,WORLD,3915,1,QUANTITY_IN_100KG,2024,3129265.51,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,FR,WORLD,3915,1,QUANTITY_IN_100KG,2010,1002193.08,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,FR,WORLD,3915,1,QUANTITY_IN_100KG,2012,1098863.31,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,FR,WORLD,3915,1,QUANTITY_IN_100KG,2014,1117178.64,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,FR,WORLD,3915,1,QUANTITY_IN_100KG,2016,1224626.24,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,FR,WORLD,3915,1,QUANTITY_IN_100KG,2018,1613218.23,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,FR,WORLD,3915,1,QUANTITY_IN_100KG,2020,1448175.18,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,FR,WORLD,3915,1,QUANTITY_IN_100KG,2022,1764402.70,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,GR,WORLD,3915,1,QUANTITY_IN_100KG,2010,76048.90,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,GR,WORLD,3915,1,QUANTITY_IN_100KG,2012,77974.25,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,GR,WORLD,3915,1,QUANTITY_IN_100KG,2014,113126.40,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,GR,WORLD,3915,1,QUANTITY_IN_100KG,2016,141636.84,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,GR,WORLD,3915,1,QUANTITY_IN_100KG,2018,216256.16,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,GR,WORLD,3915,1,QUANTITY_IN_100KG,2020,312378.57,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,GR,WORLD,3915,1,QUANTITY_IN_100KG,2022,390566.28,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,GR,WORLD,3915,1,QUANTITY_IN_100KG,2024,423854.65,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,IT,WORLD,3915,1,QUANTITY_IN_100KG,2010,1382905.83,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,IT,WORLD,3915,1,QUANTITY_IN_100KG,2012,1389569.79,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,IT,WORLD,3915,1,QUANTITY_IN_100KG,2014,1602321.38,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,IT,WORLD,3915,1,QUANTITY_IN_100KG,2016,1786932.61,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,IT,WORLD,3915,1,QUANTITY_IN_100KG,2018,1697990.41,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,IT,WORLD,3915,1,QUANTITY_IN_100KG,2020,1404889.06,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,IT,WORLD,3915,1,QUANTITY_IN_100KG,2022,1794124.50,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,NL,WORLD,3915,1,QUANTITY_IN_100KG,2010,2964006.57,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,NL,WORLD,3915,1,QUANTITY_IN_100KG,2012,3622905.65,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,NL,WORLD,3915,1,QUANTITY_IN_100KG,2014,4457328.03,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,NL,WORLD,3915,1,QUANTITY_IN_100KG,2016,5784485.29,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,NL,WORLD,3915,1,QUANTITY_IN_100KG,2018,5627549.43,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,NL,WORLD,3915,1,QUANTITY_IN_100KG,2020,6212754.00,
ESTAT:DS-045409(1.0),17/02/25 11:00:00,A,NL,WORLD,3915,1,QUANTITY_IN_100KG,2022,8310990.65,
