DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Germany,2010,92.8,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Germany,2011,101.4,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Germany,2012,104.2,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Germany,2013,103.0,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Germany,2014,102.4,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Germany,2015,100.0,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Germany,2016,97.6,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Germany,2017,101.2,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Germany,2018,104.8,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Germany,2019,104.3,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Germany,2020,99.3,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Germany,2021,114.4,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Germany,2022,141.3,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Germany,2023,133.9,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Euro area - 19 countries  (2015-2022),2010,93.4,i,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Euro area - 19 countries  (2015-2022),2011,102.0,i,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Euro area - 19 countries  (2015-2022),2012,103.6,i,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Euro area - 19 countries  (2015-2022),2013,103.6,i,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Euro area - 19 countries  (2015-2022),2014,102.5,i,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Euro area - 19 countries  (2015-2022),2015,100.0,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Euro area - 19 countries  (2015-2022),2016,96.2,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Euro area - 19 countries  (2015-2022),2017,100.2,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Euro area - 19 countries  (2015-2022),2018,104.0,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Euro area - 19 countries  (2015-2022),2019,102.3,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Euro area - 19 countries  (2015-2022),2020,95.1,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Euro area - 19 countries  (2015-2022),2021,118.1,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Euro area - 19 countries  (2015-2022),2022,145.5,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Euro area - 19 countries  (2015-2022),2023,128.6,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Euro area – 20 countries (from 2023),2010,93.4,i,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Euro area – 20 countries (from 2023),2011,102.0,i,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Euro area – 20 countries (from 2023),2012,103.6,i,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Euro area – 20 countries (from 2023),2013,103.6,i,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Euro area – 20 countries (from 2023),2014,102.5,i,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Euro area – 20 countries (from 2023),2015,100.0,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Euro area – 20 countries (from 2023),2016,96.2,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Euro area – 20 countries (from 2023),2017,100.2,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Euro area – 20 countries (from 2023),2018,104.0,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Euro area – 20 countries (from 2023),2019,102.3,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Euro area – 20 countries (from 2023),2020,95.1,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Euro area – 20 countries (from 2023),2021,118.1,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Euro area – 20 countries (from 2023),2022,145.5,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Euro area – 20 countries (from 2023),2023,128.6,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Spain,2010,89.5,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Spain,2011,99.2,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Spain,2012,100.5,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Spain,2013,102.1,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Spain,2014,101.0,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Spain,2015,100.0,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Spain,2016,94.1,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Spain,2017,96.6,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Spain,2018,101.0,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Spain,2019,98.2,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Spain,2020,89.3,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Spain,2021,117.3,,
ESTAT:STS_INPPD_A(1.0),22/02/25 11:00:00,Annual,Domestic producer prices,Manufacture of plastics in primary forms,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2015=100",Spain,2022,142.4,,
