DATAFLOW,LAST UPDATE,freq,unit,ind_use,stk_flow,prd_ava,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Albania,2010,,,C
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Albania,2015,,,C
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Albania,2020,46.67,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Austria,2010,4904.51,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Austria,2011,5461.91,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Austria,2012,5291.11,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Austria,2013,5326.53,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Austria,2014,5548.42,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Austria,2015,5410.2,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Austria,2016,5572.49,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Austria,2017,5842.16,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Austria,2018,6061.25,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Austria,2019,6090.38,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Austria,2020,5630.31,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Austria,2021,6656.64,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Belgium,2010,5813.63,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Belgium,2014,6132.06,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Belgium,2015,7007.46,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Belgium,2016,7493.16,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Belgium,2019,7637.21,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Belgium,2020,7028.4,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Belgium,2021,8215.7,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Bulgaria,2010,782.06,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Cyprus,2010,99.87,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Cyprus,2011,92.78,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Cyprus,2012,75.71,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Cyprus,2013,68.84,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Cyprus,2014,67.57,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Cyprus,2015,63.4,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Cyprus,2016,74.52,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Cyprus,2017,81.58,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Cyprus,2018,87.98,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Cyprus,2019,87.92,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Cyprus,2020,87,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Cyprus,2021,107.43,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Czechia,2010,8208.31,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Czechia,2011,9407.12,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Czechia,2012,9068.99,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Czechia,2013,8829.6,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Czechia,2014,9210.81,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Czechia,2015,9689.65,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Czechia,2016,10070.13,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Czechia,2017,10965.78,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Czechia,2018,11261.67,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Czechia,2019,11304.01,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Czechia,2020,10089.17,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Czechia,2021,11812.75,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Czechia,2022,13750.63,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Czechia,2023,14141.1,,
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Germany,2010,,,C
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Germany,2011,,,C
ESTAT:NAIO_10_CP1610(1.0),12/03/25 11:00:00,Annual,Million euro,Total use,Domestic,Rubber and plastic products,Germany,2012,,,C
